Mês/Ano,Região,Estado,Produto,Quantidade Processada (t)
03/2020,NORDESTE,Sergipe,CANA DE AÇÚCAR,"10035,720"
03/2020,SUDESTE,Minas Gerais,CANA DE AÇÚCAR,"407639,908"
03/2020,SUDESTE,São Paulo,CANA DE AÇÚCAR,"2742007,687"
03/2020,SUL,Paraná,CANA DE AÇÚCAR,"450659,273"
03/2020,NORDESTE,Alagoas,MELAÇO,"46682,899"
03/2020,NORDESTE,Pernambuco,MELAÇO,"36592,316"
03/2020,SUDESTE,Minas Gerais,MELAÇO,"46442,705"
03/2020,SUDESTE,São Paulo,MELAÇO,"60464,027"
03/2020,CENTRO OESTE,Goiás,MILHO,"120971,445"
03/2020,CENTRO OESTE,Mato Grosso,MILHO,"356494,282"
03/2020,SUDESTE,São Paulo,MILHO,"5721,720"
03/2020,SUL,Paraná,MILHO,"7440,810"
03/2020,CENTRO OESTE,Mato Grosso do Sul,OUTRAS MATÉRIAS - PRIMAS,"13,160"
03/2020,SUL,Paraná,OUTRAS MATÉRIAS - PRIMAS,"1661,582"
02/2020,NORDESTE,Alagoas,BAGAÇO OU PALHA DE CANA,"14288,500"
02/2020,SUDESTE,São Paulo,BAGAÇO OU PALHA DE CANA,"5514,210"
02/2020,CENTRO OESTE,Goiás,CANA DE AÇÚCAR,"120791,699"
02/2020,CENTRO OESTE,Mato Grosso do Sul,CANA DE AÇÚCAR,"413764,220"
02/2020,NORDESTE,Alagoas,CANA DE AÇÚCAR,"287804,072"
02/2020,NORDESTE,Paraíba,CANA DE AÇÚCAR,"293690,689"
02/2020,NORDESTE,Pernambuco,CANA DE AÇÚCAR,"428562,695"
02/2020,NORDESTE,Rio Grande do Norte,CANA DE AÇÚCAR,"67197,017"
02/2020,NORDESTE,Sergipe,CANA DE AÇÚCAR,"77041,869"
02/2020,SUDESTE,Espírito Santo,CANA DE AÇÚCAR,"30404,653"
02/2020,SUDESTE,São Paulo,CANA DE AÇÚCAR,"0,001"
02/2020,SUL,Paraná,CANA DE AÇÚCAR,"5764,490"
02/2020,NORDESTE,Alagoas,MELAÇO,"91992,792"
02/2020,NORDESTE,Pernambuco,MELAÇO,"57799,155"
02/2020,NORDESTE,Rio Grande do Norte,MELAÇO,"5215,350"
02/2020,NORDESTE,Sergipe,MELAÇO,"5611,779"
02/2020,SUDESTE,São Paulo,MELAÇO,"1416,910"
02/2020,CENTRO OESTE,Goiás,MILHO,"127470,632"
02/2020,CENTRO OESTE,Mato Grosso,MILHO,"290723,472"
02/2020,SUDESTE,São Paulo,MILHO,"5358,949"
02/2020,SUL,Paraná,MILHO,"13009,260"
02/2020,SUL,Paraná,OUTRAS MATÉRIAS - PRIMAS,"1253,982"
01/2020,NORDESTE,Alagoas,BAGAÇO OU PALHA DE CANA,"10737,470"
01/2020,SUDESTE,São Paulo,BAGAÇO OU PALHA DE CANA,"8708,710"
01/2020,NORDESTE,Alagoas,CANA DE AÇÚCAR,"827676,712"
01/2020,NORDESTE,Paraíba,CANA DE AÇÚCAR,"677765,846"
01/2020,NORDESTE,Pernambuco,CANA DE AÇÚCAR,"634043,004"
01/2020,NORDESTE,Rio Grande do Norte,CANA DE AÇÚCAR,"215231,424"
01/2020,NORDESTE,Sergipe,CANA DE AÇÚCAR,"252487,866"
01/2020,NORTE,Rondônia,CANA DE AÇÚCAR,"1385,790"
01/2020,SUDESTE,Espírito Santo,CANA DE AÇÚCAR,"82640,644"
01/2020,SUDESTE,São Paulo,CANA DE AÇÚCAR,"19992,901"
01/2020,SUL,Paraná,CANA DE AÇÚCAR,"16462,150"
01/2020,NORDESTE,Alagoas,MELAÇO,"130768,362"
01/2020,NORDESTE,Pernambuco,MELAÇO,"80845,808"
01/2020,NORDESTE,Sergipe,MELAÇO,"11421,599"
01/2020,SUDESTE,São Paulo,MELAÇO,"2585,201"
01/2020,CENTRO OESTE,Goiás,MILHO,"120522,707"
01/2020,CENTRO OESTE,Mato Grosso,MILHO,"315035,256"
01/2020,SUDESTE,São Paulo,MILHO,"4916,644"
01/2020,SUL,Paraná,MILHO,"14464,740"
01/2020,NORDESTE,Pernambuco,OUTRAS MATÉRIAS - PRIMAS,"2565,240"
01/2020,SUL,Paraná,OUTRAS MATÉRIAS - PRIMAS,"804,447"
12/2019,NORDESTE,Alagoas,BAGAÇO OU PALHA DE CANA,"13564,330"
12/2019,SUDESTE,São Paulo,BAGAÇO OU PALHA DE CANA,"8967,150"
12/2019,CENTRO OESTE,Goiás,CANA DE AÇÚCAR,"856170,250"
12/2019,CENTRO OESTE,Mato Grosso,CANA DE AÇÚCAR,"31088,282"
12/2019,CENTRO OESTE,Mato Grosso do Sul,CANA DE AÇÚCAR,"297274,719"
12/2019,NORDESTE,Alagoas,CANA DE AÇÚCAR,"856761,315"
12/2019,NORDESTE,Maranhão,CANA DE AÇÚCAR,"86616,150"
12/2019,NORDESTE,Paraíba,CANA DE AÇÚCAR,"761295,024"
12/2019,NORDESTE,Pernambuco,CANA DE AÇÚCAR,"737961,185"
12/2019,NORDESTE,Piauí,CANA DE AÇÚCAR,"16644,626"
12/2019,NORDESTE,Rio Grande do Norte,CANA DE AÇÚCAR,"256998,423"
12/2019,NORDESTE,Sergipe,CANA DE AÇÚCAR,"263223,221"
12/2019,NORTE,Amazonas,CANA DE AÇÚCAR,"12562,840"
12/2019,NORTE,Pará,CANA DE AÇÚCAR,"76050,501"
12/2019,NORTE,Rondônia,CANA DE AÇÚCAR,"5773,130"
12/2019,NORTE,Tocantins,CANA DE AÇÚCAR,"21,514"
12/2019,SUDESTE,Espírito Santo,CANA DE AÇÚCAR,"99472,103"
12/2019,SUDESTE,Minas Gerais,CANA DE AÇÚCAR,"380049,019"
12/2019,SUDESTE,São Paulo,CANA DE AÇÚCAR,"962305,455"
12/2019,SUL,Paraná,CANA DE AÇÚCAR,"32061,313"
12/2019,CENTRO OESTE,Goiás,MELAÇO,"123,741"
12/2019,NORDESTE,Alagoas,MELAÇO,"129071,478"
12/2019,NORDESTE,Maranhão,MELAÇO,"232,338"
12/2019,NORDESTE,Pernambuco,MELAÇO,"78764,636"
12/2019,NORDESTE,Piauí,MELAÇO,"6753,943"
12/2019,NORDESTE,Sergipe,MELAÇO,"10757,561"
12/2019,SUDESTE,Minas Gerais,MELAÇO,"2595,193"
12/2019,SUDESTE,São Paulo,MELAÇO,"12145,568"
12/2019,CENTRO OESTE,Goiás,MILHO,"110350,902"
12/2019,CENTRO OESTE,Mato Grosso,MILHO,"298938,218"
12/2019,SUDESTE,São Paulo,MILHO,"4296,919"
12/2019,SUL,Paraná,MILHO,"11320,650"
12/2019,SUDESTE,São Paulo,OUTRAS MATÉRIAS - PRIMAS,"6895,572"
11/2019,SUDESTE,São Paulo,BAGAÇO OU PALHA DE CANA,"7151,420"
11/2019,CENTRO OESTE,Goiás,CANA DE AÇÚCAR,"4613912,739"
11/2019,CENTRO OESTE,Mato Grosso,CANA DE AÇÚCAR,"923403,702"
11/2019,CENTRO OESTE,Mato Grosso do Sul,CANA DE AÇÚCAR,"1553475,159"
11/2019,NORDESTE,Alagoas,CANA DE AÇÚCAR,"731990,990"
11/2019,NORDESTE,Bahia,CANA DE AÇÚCAR,"101203,960"
11/2019,NORDESTE,Maranhão,CANA DE AÇÚCAR,"217584,920"
11/2019,NORDESTE,Paraíba,CANA DE AÇÚCAR,"770454,006"
11/2019,NORDESTE,Pernambuco,CANA DE AÇÚCAR,"740219,558"
11/2019,NORDESTE,Piauí,CANA DE AÇÚCAR,"41476,356"
11/2019,NORDESTE,Rio Grande do Norte,CANA DE AÇÚCAR,"305894,697"
11/2019,NORDESTE,Sergipe,CANA DE AÇÚCAR,"266020,133"
11/2019,NORTE,Amazonas,CANA DE AÇÚCAR,"38642,740"
11/2019,NORTE,Pará,CANA DE AÇÚCAR,"113617,223"
11/2019,NORTE,Rondônia,CANA DE AÇÚCAR,"9145,120"
11/2019,NORTE,Tocantins,CANA DE AÇÚCAR,"253514,090"
11/2019,SUDESTE,Espírito Santo,CANA DE AÇÚCAR,"73961,815"
11/2019,SUDESTE,Minas Gerais,CANA DE AÇÚCAR,"2370870,112"
11/2019,SUDESTE,São Paulo,CANA DE AÇÚCAR,"11245513,669"
11/2019,SUL,Paraná,CANA DE AÇÚCAR,"676668,739"
11/2019,CENTRO OESTE,Goiás,MELAÇO,"9063,073"
11/2019,NORDESTE,Alagoas,MELAÇO,"123232,236"
11/2019,NORDESTE,Maranhão,MELAÇO,"1761,044"
11/2019,NORDESTE,Pernambuco,MELAÇO,"70590,067"
11/2019,NORDESTE,Piauí,MELAÇO,"12313,540"
11/2019,NORDESTE,Sergipe,MELAÇO,"9192,037"
11/2019,SUDESTE,Minas Gerais,MELAÇO,"80183,459"
11/2019,SUDESTE,São Paulo,MELAÇO,"190989,540"
11/2019,SUL,Paraná,MELAÇO,"279,629"
11/2019,CENTRO OESTE,Goiás,MILHO,"61653,262"
11/2019,CENTRO OESTE,Mato Grosso,MILHO,"280412,685"
11/2019,SUDESTE,São Paulo,MILHO,"7501,525"
11/2019,SUL,Paraná,MILHO,"10328,080"
11/2019,CENTRO OESTE,Mato Grosso,OUTRAS MATÉRIAS - PRIMAS,"41,629"
11/2019,CENTRO OESTE,Mato Grosso do Sul,OUTRAS MATÉRIAS - PRIMAS,"3,487"
11/2019,SUDESTE,São Paulo,OUTRAS MATÉRIAS - PRIMAS,"10089,534"
11/2019,SUL,Paraná,OUTRAS MATÉRIAS - PRIMAS,"1748,134"
11/2019,SUL,Rio Grande do Sul,OUTRAS MATÉRIAS - PRIMAS,"4,884"
10/2019,SUDESTE,São Paulo,BAGAÇO OU PALHA DE CANA,"7888,470"
10/2019,CENTRO OESTE,Goiás,CANA DE AÇÚCAR,"7043321,893"
10/2019,CENTRO OESTE,Mato Grosso,CANA DE AÇÚCAR,"1704863,970"
10/2019,CENTRO OESTE,Mato Grosso do Sul,CANA DE AÇÚCAR,"3729405,818"
10/2019,NORDESTE,Alagoas,CANA DE AÇÚCAR,"872481,722"
10/2019,NORDESTE,Bahia,CANA DE AÇÚCAR,"389933,770"
10/2019,NORDESTE,Maranhão,CANA DE AÇÚCAR,"259754,940"
10/2019,NORDESTE,Paraíba,CANA DE AÇÚCAR,"839943,617"
10/2019,NORDESTE,Pernambuco,CANA DE AÇÚCAR,"791350,033"
10/2019,NORDESTE,Piauí,CANA DE AÇÚCAR,"62104,306"
10/2019,NORDESTE,Rio Grande do Norte,CANA DE AÇÚCAR,"330132,355"
10/2019,NORDESTE,Sergipe,CANA DE AÇÚCAR,"234975,022"
10/2019,NORTE,Amazonas,CANA DE AÇÚCAR,"22388,650"
10/2019,NORTE,Pará,CANA DE AÇÚCAR,"100883,755"
10/2019,NORTE,Rondônia,CANA DE AÇÚCAR,"11172,610"
10/2019,NORTE,Tocantins,CANA DE AÇÚCAR,"289268,400"
10/2019,SUDESTE,Espírito Santo,CANA DE AÇÚCAR,"125502,485"
10/2019,SUDESTE,Minas Gerais,CANA DE AÇÚCAR,"4054763,528"
10/2019,SUDESTE,Rio de Janeiro,CANA DE AÇÚCAR,"70086,660"
10/2019,SUDESTE,São Paulo,CANA DE AÇÚCAR,"24577162,148"
10/2019,SUL,Paraná,CANA DE AÇÚCAR,"1945464,348"
10/2019,CENTRO OESTE,Goiás,MELAÇO,"19075,160"
10/2019,NORDESTE,Alagoas,MELAÇO,"117802,068"
10/2019,NORDESTE,Maranhão,MELAÇO,"3233,731"
10/2019,NORDESTE,Pernambuco,MELAÇO,"71962,820"
10/2019,NORDESTE,Piauí,MELAÇO,"13863,441"
10/2019,NORDESTE,Sergipe,MELAÇO,"8986,696"
10/2019,SUDESTE,Minas Gerais,MELAÇO,"144792,389"
10/2019,SUDESTE,São Paulo,MELAÇO,"427566,766"
10/2019,SUL,Paraná,MELAÇO,"374,964"
10/2019,CENTRO OESTE,Goiás,MILHO,"41730,110"
10/2019,CENTRO OESTE,Mato Grosso,MILHO,"266459,496"
10/2019,SUDESTE,São Paulo,MILHO,"4835,620"
10/2019,SUL,Paraná,MILHO,"6757,030"
10/2019,CENTRO OESTE,Mato Grosso,OUTRAS MATÉRIAS - PRIMAS,"218,118"
10/2019,CENTRO OESTE,Mato Grosso do Sul,OUTRAS MATÉRIAS - PRIMAS,"5,507"
10/2019,SUDESTE,São Paulo,OUTRAS MATÉRIAS - PRIMAS,"10815,599"
10/2019,SUL,Paraná,OUTRAS MATÉRIAS - PRIMAS,"2002,278"
09/2019,SUDESTE,São Paulo,BAGAÇO OU PALHA DE CANA,"8905,000"
09/2019,CENTRO OESTE,Goiás,CANA DE AÇÚCAR,"7206822,871"
09/2019,CENTRO OESTE,Mato Grosso,CANA DE AÇÚCAR,"1975863,826"
09/2019,CENTRO OESTE,Mato Grosso do Sul,CANA DE AÇÚCAR,"4753605,810"
09/2019,NORDESTE,Alagoas,CANA DE AÇÚCAR,"492015,910"
09/2019,NORDESTE,Bahia,CANA DE AÇÚCAR,"447988,060"
09/2019,NORDESTE,Maranhão,CANA DE AÇÚCAR,"314386,570"
09/2019,NORDESTE,Paraíba,CANA DE AÇÚCAR,"775775,006"
09/2019,NORDESTE,Pernambuco,CANA DE AÇÚCAR,"351925,766"
09/2019,NORDESTE,Piauí,CANA DE AÇÚCAR,"62463,415"
09/2019,NORDESTE,Rio Grande do Norte,CANA DE AÇÚCAR,"274230,020"
09/2019,NORDESTE,Sergipe,CANA DE AÇÚCAR,"53711,200"
09/2019,NORTE,Amazonas,CANA DE AÇÚCAR,"20904,020"
09/2019,NORTE,Pará,CANA DE AÇÚCAR,"93957,974"
09/2019,NORTE,Rondônia,CANA DE AÇÚCAR,"11446,240"
09/2019,NORTE,Tocantins,CANA DE AÇÚCAR,"259333,950"
09/2019,SUDESTE,Espírito Santo,CANA DE AÇÚCAR,"185249,035"
09/2019,SUDESTE,Minas Gerais,CANA DE AÇÚCAR,"4648469,851"
09/2019,SUDESTE,Rio de Janeiro,CANA DE AÇÚCAR,"175216,575"
09/2019,SUDESTE,São Paulo,CANA DE AÇÚCAR,"24016801,015"
09/2019,SUL,Paraná,CANA DE AÇÚCAR,"2068091,764"
09/2019,CENTRO OESTE,Goiás,MELAÇO,"22603,096"
09/2019,NORDESTE,Alagoas,MELAÇO,"59493,455"
09/2019,NORDESTE,Maranhão,MELAÇO,"3237,715"
09/2019,NORDESTE,Pernambuco,MELAÇO,"44785,805"
09/2019,NORDESTE,Piauí,MELAÇO,"12538,402"
09/2019,NORDESTE,Sergipe,MELAÇO,"929,022"
09/2019,SUDESTE,Minas Gerais,MELAÇO,"157859,773"
09/2019,SUDESTE,São Paulo,MELAÇO,"429288,705"
09/2019,SUL,Paraná,MELAÇO,"618,431"
09/2019,CENTRO OESTE,Goiás,MILHO,"37214,366"
09/2019,CENTRO OESTE,Mato Grosso,MILHO,"253732,386"
09/2019,SUDESTE,São Paulo,MILHO,"5424,773"
09/2019,SUL,Paraná,MILHO,"5601,838"
09/2019,CENTRO OESTE,Mato Grosso,OUTRAS MATÉRIAS - PRIMAS,"84,253"
09/2019,CENTRO OESTE,Mato Grosso do Sul,OUTRAS MATÉRIAS - PRIMAS,"8,120"
09/2019,SUDESTE,São Paulo,OUTRAS MATÉRIAS - PRIMAS,"7165,078"
09/2019,SUL,Paraná,OUTRAS MATÉRIAS - PRIMAS,"2055,284"
08/2019,SUDESTE,São Paulo,BAGAÇO OU PALHA DE CANA,"7830,000"
08/2019,CENTRO OESTE,Goiás,CANA DE AÇÚCAR,"8434751,850"
08/2019,CENTRO OESTE,Mato Grosso,CANA DE AÇÚCAR,"2143514,277"
08/2019,CENTRO OESTE,Mato Grosso do Sul,CANA DE AÇÚCAR,"5830568,729"
08/2019,NORDESTE,Alagoas,CANA DE AÇÚCAR,"74498,029"
08/2019,NORDESTE,Bahia,CANA DE AÇÚCAR,"485055,480"
08/2019,NORDESTE,Maranhão,CANA DE AÇÚCAR,"447230,983"
08/2019,NORDESTE,Paraíba,CANA DE AÇÚCAR,"631488,357"
08/2019,NORDESTE,Pernambuco,CANA DE AÇÚCAR,"5117,432"
08/2019,NORDESTE,Piauí,CANA DE AÇÚCAR,"56574,202"
08/2019,NORDESTE,Rio Grande do Norte,CANA DE AÇÚCAR,"61593,010"
08/2019,NORTE,Amazonas,CANA DE AÇÚCAR,"11644,350"
08/2019,NORTE,Pará,CANA DE AÇÚCAR,"105448,874"
08/2019,NORTE,Rondônia,CANA DE AÇÚCAR,"14606,150"
08/2019,NORTE,Tocantins,CANA DE AÇÚCAR,"323664,700"
08/2019,SUDESTE,Espírito Santo,CANA DE AÇÚCAR,"211090,063"
08/2019,SUDESTE,Minas Gerais,CANA DE AÇÚCAR,"5167835,564"
08/2019,SUDESTE,Rio de Janeiro,CANA DE AÇÚCAR,"300621,288"
08/2019,SUDESTE,São Paulo,CANA DE AÇÚCAR,"28927656,229"
08/2019,SUL,Paraná,CANA DE AÇÚCAR,"2779188,593"
08/2019,CENTRO OESTE,Goiás,MELAÇO,"24685,269"
08/2019,NORDESTE,Alagoas,MELAÇO,"9590,324"
08/2019,NORDESTE,Maranhão,MELAÇO,"3072,276"
08/2019,NORDESTE,Pernambuco,MELAÇO,"9040,559"
08/2019,NORDESTE,Piauí,MELAÇO,"12207,769"
08/2019,SUDESTE,Minas Gerais,MELAÇO,"166819,992"
08/2019,SUDESTE,São Paulo,MELAÇO,"505451,565"
08/2019,SUL,Paraná,MELAÇO,"1225,614"
08/2019,CENTRO OESTE,Goiás,MILHO,"66501,469"
08/2019,CENTRO OESTE,Mato Grosso,MILHO,"180279,612"
08/2019,SUDESTE,São Paulo,MILHO,"3254,088"
08/2019,SUL,Paraná,MILHO,"8022,740"
08/2019,CENTRO OESTE,Mato Grosso,OUTRAS MATÉRIAS - PRIMAS,"2346,246"
08/2019,CENTRO OESTE,Mato Grosso do Sul,OUTRAS MATÉRIAS - PRIMAS,"7,962"
08/2019,SUDESTE,São Paulo,OUTRAS MATÉRIAS - PRIMAS,"7767,076"
08/2019,SUL,Paraná,OUTRAS MATÉRIAS - PRIMAS,"2058,607"
07/2019,SUDESTE,São Paulo,BAGAÇO OU PALHA DE CANA,"9056,000"
07/2019,CENTRO OESTE,Goiás,CANA DE AÇÚCAR,"8868121,932"
07/2019,CENTRO OESTE,Mato Grosso,CANA DE AÇÚCAR,"2230818,918"
07/2019,CENTRO OESTE,Mato Grosso do Sul,CANA DE AÇÚCAR,"5469698,710"
07/2019,NORDESTE,Bahia,CANA DE AÇÚCAR,"522802,240"
07/2019,NORDESTE,Maranhão,CANA DE AÇÚCAR,"376247,330"
07/2019,NORDESTE,Paraíba,CANA DE AÇÚCAR,"136706,950"
07/2019,NORDESTE,Piauí,CANA DE AÇÚCAR,"55220,231"
07/2019,NORTE,Amazonas,CANA DE AÇÚCAR,"11649,720"
07/2019,NORTE,Pará,CANA DE AÇÚCAR,"134782,608"
07/2019,NORTE,Rondônia,CANA DE AÇÚCAR,"12042,290"
07/2019,NORTE,Tocantins,CANA DE AÇÚCAR,"299017,240"
07/2019,SUDESTE,Espírito Santo,CANA DE AÇÚCAR,"293542,185"
07/2019,SUDESTE,Minas Gerais,CANA DE AÇÚCAR,"5623734,265"
07/2019,SUDESTE,Rio de Janeiro,CANA DE AÇÚCAR,"366637,992"
07/2019,SUDESTE,São Paulo,CANA DE AÇÚCAR,"28148116,259"
07/2019,SUL,Paraná,CANA DE AÇÚCAR,"2430239,448"
07/2019,CENTRO OESTE,Goiás,MELAÇO,"22798,923"
07/2019,NORDESTE,Maranhão,MELAÇO,"2818,112"
07/2019,NORDESTE,Pernambuco,MELAÇO,"964,900"
07/2019,NORDESTE,Piauí,MELAÇO,"8677,333"
07/2019,SUDESTE,Minas Gerais,MELAÇO,"172242,089"
07/2019,SUDESTE,São Paulo,MELAÇO,"457292,600"
07/2019,SUL,Paraná,MELAÇO,"661,186"
07/2019,CENTRO OESTE,Goiás,MILHO,"76221,524"
07/2019,CENTRO OESTE,Mato Grosso,MILHO,"175058,519"
07/2019,SUDESTE,São Paulo,MILHO,"4260,988"
07/2019,SUL,Paraná,MILHO,"5010,988"
07/2019,CENTRO OESTE,Mato Grosso,OUTRAS MATÉRIAS - PRIMAS,"3197,130"
07/2019,CENTRO OESTE,Mato Grosso do Sul,OUTRAS MATÉRIAS - PRIMAS,"6,409"
07/2019,SUDESTE,São Paulo,OUTRAS MATÉRIAS - PRIMAS,"6695,943"
07/2019,SUL,Paraná,OUTRAS MATÉRIAS - PRIMAS,"593850,601"
07/2019,SUL,Rio Grande do Sul,OUTRAS MATÉRIAS - PRIMAS,"4,884"
06/2019,SUDESTE,São Paulo,BAGAÇO OU PALHA DE CANA,"8502,000"
06/2019,CENTRO OESTE,Goiás,CANA DE AÇÚCAR,"8689217,328"
06/2019,CENTRO OESTE,Mato Grosso,CANA DE AÇÚCAR,"2168359,051"
06/2019,CENTRO OESTE,Mato Grosso do Sul,CANA DE AÇÚCAR,"5200577,007"
06/2019,NORDESTE,Bahia,CANA DE AÇÚCAR,"404595,230"
06/2019,NORDESTE,Maranhão,CANA DE AÇÚCAR,"313587,950"
06/2019,NORDESTE,Piauí,CANA DE AÇÚCAR,"21933,440"
06/2019,NORTE,Pará,CANA DE AÇÚCAR,"97403,728"
06/2019,NORTE,Rondônia,CANA DE AÇÚCAR,"9194,500"
06/2019,NORTE,Tocantins,CANA DE AÇÚCAR,"327905,324"
06/2019,SUDESTE,Espírito Santo,CANA DE AÇÚCAR,"280862,465"
06/2019,SUDESTE,Minas Gerais,CANA DE AÇÚCAR,"5027914,013"
06/2019,SUDESTE,Rio de Janeiro,CANA DE AÇÚCAR,"264640,540"
06/2019,SUDESTE,São Paulo,CANA DE AÇÚCAR,"27276723,575"
06/2019,SUL,Paraná,CANA DE AÇÚCAR,"2149781,087"
06/2019,CENTRO OESTE,Goiás,MELAÇO,"4321,000"
06/2019,NORDESTE,Maranhão,MELAÇO,"774,609"
06/2019,NORDESTE,Pernambuco,MELAÇO,"24,180"
06/2019,NORDESTE,Piauí,MELAÇO,"141,280"
06/2019,SUDESTE,Minas Gerais,MELAÇO,"172706,053"
06/2019,SUDESTE,São Paulo,MELAÇO,"467063,675"
06/2019,SUL,Paraná,MELAÇO,"942,929"
06/2019,CENTRO OESTE,Goiás,MILHO,"52748,118"
06/2019,CENTRO OESTE,Mato Grosso,MILHO,"170881,680"
06/2019,SUDESTE,São Paulo,MILHO,"3990,086"
06/2019,SUL,Paraná,MILHO,"10833,280"
06/2019,CENTRO OESTE,Mato Grosso,OUTRAS MATÉRIAS - PRIMAS,"1350,221"
06/2019,CENTRO OESTE,Mato Grosso do Sul,OUTRAS MATÉRIAS - PRIMAS,"14,048"
06/2019,SUDESTE,São Paulo,OUTRAS MATÉRIAS - PRIMAS,"8885,507"
06/2019,SUL,Paraná,OUTRAS MATÉRIAS - PRIMAS,"504824,670"
05/2019,SUDESTE,São Paulo,BAGAÇO OU PALHA DE CANA,"8584,000"
05/2019,CENTRO OESTE,Goiás,CANA DE AÇÚCAR,"7782905,607"
05/2019,CENTRO OESTE,Mato Grosso,CANA DE AÇÚCAR,"1684305,897"
05/2019,CENTRO OESTE,Mato Grosso do Sul,CANA DE AÇÚCAR,"5133978,758"
05/2019,NORDESTE,Bahia,CANA DE AÇÚCAR,"441247,550"
05/2019,NORDESTE,Maranhão,CANA DE AÇÚCAR,"117820,620"
05/2019,NORTE,Pará,CANA DE AÇÚCAR,"2524,224"
05/2019,NORTE,Rondônia,CANA DE AÇÚCAR,"7519,000"
05/2019,NORTE,Tocantins,CANA DE AÇÚCAR,"307434,952"
05/2019,SUDESTE,Espírito Santo,CANA DE AÇÚCAR,"171114,021"
05/2019,SUDESTE,Minas Gerais,CANA DE AÇÚCAR,"4725821,199"
05/2019,SUDESTE,Rio de Janeiro,CANA DE AÇÚCAR,"114258,240"
05/2019,SUDESTE,São Paulo,CANA DE AÇÚCAR,"26575811,318"
05/2019,SUL,Paraná,CANA DE AÇÚCAR,"2073008,856"
05/2019,CENTRO OESTE,Goiás,MELAÇO,"2386,000"
05/2019,NORDESTE,Pernambuco,MELAÇO,"50,640"
05/2019,SUDESTE,Minas Gerais,MELAÇO,"157986,509"
05/2019,SUDESTE,São Paulo,MELAÇO,"447732,556"
05/2019,SUL,Paraná,MELAÇO,"399,416"
05/2019,CENTRO OESTE,Goiás,MILHO,"53011,807"
05/2019,CENTRO OESTE,Mato Grosso,MILHO,"193490,341"
05/2019,SUDESTE,São Paulo,MILHO,"7590,328"
05/2019,SUL,Paraná,MILHO,"10762,280"
05/2019,CENTRO OESTE,Mato Grosso do Sul,OUTRAS MATÉRIAS - PRIMAS,"0,554"
05/2019,SUDESTE,São Paulo,OUTRAS MATÉRIAS - PRIMAS,"10392,385"
05/2019,SUL,Paraná,OUTRAS MATÉRIAS - PRIMAS,"463446,825"
04/2019,NORDESTE,Alagoas,BAGAÇO OU PALHA DE CANA,"6445,670"
04/2019,SUDESTE,São Paulo,BAGAÇO OU PALHA DE CANA,"289,190"
04/2019,CENTRO OESTE,Goiás,CANA DE AÇÚCAR,"4057214,365"
04/2019,CENTRO OESTE,Mato Grosso,CANA DE AÇÚCAR,"957760,544"
04/2019,CENTRO OESTE,Mato Grosso do Sul,CANA DE AÇÚCAR,"4417554,642"
04/2019,NORDESTE,Alagoas,CANA DE AÇÚCAR,"73911,719"
04/2019,NORDESTE,Bahia,CANA DE AÇÚCAR,"159983,710"
04/2019,NORDESTE,Paraíba,CANA DE AÇÚCAR,"8413,280"
04/2019,NORTE,Rondônia,CANA DE AÇÚCAR,"4116,200"
04/2019,NORTE,Tocantins,CANA DE AÇÚCAR,"159405,016"
04/2019,SUDESTE,Espírito Santo,CANA DE AÇÚCAR,"16539,640"
04/2019,SUDESTE,Minas Gerais,CANA DE AÇÚCAR,"3318755,431"
04/2019,SUDESTE,Rio de Janeiro,CANA DE AÇÚCAR,"24869,320"
04/2019,SUDESTE,São Paulo,CANA DE AÇÚCAR,"14428564,653"
04/2019,SUL,Paraná,CANA DE AÇÚCAR,"1810546,331"
04/2019,CENTRO OESTE,Goiás,MELAÇO,"23,000"
04/2019,NORDESTE,Alagoas,MELAÇO,"13644,894"
04/2019,NORDESTE,Pernambuco,MELAÇO,"35,300"
04/2019,SUDESTE,Minas Gerais,MELAÇO,"86888,274"
04/2019,SUDESTE,São Paulo,MELAÇO,"234180,268"
04/2019,SUL,Paraná,MELAÇO,"716,182"
04/2019,CENTRO OESTE,Goiás,MILHO,"59112,034"
04/2019,CENTRO OESTE,Mato Grosso,MILHO,"184103,092"
04/2019,SUDESTE,São Paulo,MILHO,"3080,707"
04/2019,SUL,Paraná,MILHO,"7194,420"
04/2019,CENTRO OESTE,Mato Grosso,OUTRAS MATÉRIAS - PRIMAS,"1022,740"
04/2019,CENTRO OESTE,Mato Grosso do Sul,OUTRAS MATÉRIAS - PRIMAS,"10,433"
04/2019,SUDESTE,São Paulo,OUTRAS MATÉRIAS - PRIMAS,"7548,918"
04/2019,SUL,Paraná,OUTRAS MATÉRIAS - PRIMAS,"169059,975"
03/2019,NORDESTE,Alagoas,BAGAÇO OU PALHA DE CANA,"6188,340"
03/2019,CENTRO OESTE,Goiás,CANA DE AÇÚCAR,"805999,170"
03/2019,CENTRO OESTE,Mato Grosso,CANA DE AÇÚCAR,"161967,800"
03/2019,CENTRO OESTE,Mato Grosso do Sul,CANA DE AÇÚCAR,"1893661,275"
03/2019,NORDESTE,Alagoas,CANA DE AÇÚCAR,"246869,989"
03/2019,NORDESTE,Paraíba,CANA DE AÇÚCAR,"146522,170"
03/2019,NORDESTE,Pernambuco,CANA DE AÇÚCAR,"57824,260"
03/2019,NORTE,Rondônia,CANA DE AÇÚCAR,"2357,266"
